Country\year,Non-OECD Economies,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,Yes,220240.77,230413.76,234122.38,239560.14,243598.69,244499.37,256463.93,258303.62,262725.06,264637.84,280308.99,276902.60,269315.64,286381.63,298167.36,307492.67,321462.03,335854.13,331802.17,322554.23,300695.19,310314.53,310670.24,321011.89,322554.61,..,..,..,..,..
Australia,No,423672.23,423733.06,427426.08,428337.07,428818.22,437276.55,443928.27,456015.98,469751.52,476391.99,487777.76,495604.31,499190.49,500599.96,517726.51,524211.49,528038.42,534417.84,537262.31,540381.62,535549.22,537205.50,539511.06,530311.91,524709.40,533063.83,542287.87,549330.02,549731.94,545152.52
Austria,No,78420.49,82082.33,75469.27,75709.19,75958.30,79237.98,82452.59,82116.23,81432.85,79898.37,80129.43,84064.72,85815.06,91306.72,90985.23,92147.29,89728.78,86983.94,86440.21,79779.07,84336.72,82127.03,79432.38,79817.17,76238.67,78462.23,79471.01,81862.50,78627.64,79842.25
Belarus,Yes,139151.99,130840.89,120140.78,106923.60,89779.89,83442.94,84297.36,85109.98,86361.89,80057.93,79717.08,79870.11,78363.79,80448.44,84704.15,86798.69,90642.09,90117.01,92953.37,88814.49,90694.80,90342.30,91370.71,92264.23,91040.70,85975.45,87745.02,88542.20,89064.61,90115.70
Belgium,No,145719.49,148439.22,148039.15,146897.39,151497.12,153616.79,157323.93,148852.50,154021.16,147789.33,148882.93,147324.61,147412.69,147713.45,148554.79,145561.70,142720.48,139071.66,138980.22,126325.02,133633.52,123134.28,120385.71,120443.49,114732.00,118959.98,117689.18,117424.30,117894.74,116651.49
Brazil,Yes,552640.82,574601.49,583848.35,596099.40,613905.50,638769.90,643708.82,668029.60,685872.35,702927.57,725162.14,744084.15,760963.10,778785.71,815887.21,830176.87,837355.38,843618.61,872592.78,858585.47,921055.10,954163.29,985944.61,1030985.67,1062897.04,1041676.99,1014702.38,..,..,..
Bulgaria,Yes,99978.08,81795.82,76218.38,75610.64,71519.55,72908.91,73249.27,70028.76,65922.19,58817.04,57864.27,60776.88,58130.23,62940.28,62109.50,62714.87,63377.10,67307.94,65996.59,57163.97,59796.37,65071.43,60087.12,54893.92,57987.87,61338.35,58800.91,61148.47,57281.77,55955.28
Canada,No,601523.69,595776.73,613598.52,616798.39,638000.47,656298.72,678714.49,691195.37,696901.52,709600.92,733511.34,722935.01,726555.18,744831.89,745919.78,738718.60,730101.94,751661.27,735692.85,693597.90,702802.75,714078.51,717172.39,725371.84,722557.67,723096.02,706933.91,716092.01,728475.89,730244.94
Chile,No,49209.47,47321.20,48984.82,51438.60,54532.77,57903.80,63845.69,71466.73,72442.96,75285.86,73001.38,71105.38,72364.80,73100.83,79173.64,80296.41,82822.36,91553.25,91393.91,88098.22,87942.08,96508.95,102424.84,102678.36,99268.13,106342.22,110156.04,111215.64,112312.62,..
China (People's Republic of),Yes,..,..,..,..,4057617.00,..,..,..,..,..,..,..,..,..,..,8015000.00,..,..,..,..,10543331.00,..,11895765.00,..,12300200.00,..,..,..,..,..
