zipcode,GEOID10,latitude,longitude
43451,43451,41.31282687,-83.6151846
43452,43452,41.51517616,-82.9668031
43456,43456,41.71486378,-82.8206826
43456,43456,41.64898523,-82.8229197
43456,43456,41.67945516,-82.8497743
43457,43457,41.26732955,-83.4274838
43458,43458,41.53105097,-83.2125869
43460,43460,41.60282928,-83.5630434
43462,43462,41.28356763,-83.7186964
43463,43463,41.50866495,-83.5080343
43464,43464,41.40723108,-82.9327146
43465,43465,41.5786876,-83.5288321
43465,43465,41.56997446,-83.5036794
43466,43466,41.33398525,-83.5459406
43466,43466,41.29318204,-83.513058
43467,43467,41.24320276,-83.483841
43468,43468,41.59786717,-83.3414925
97824,97824,45.33993366,-117.756233
97825,97825,44.38530238,-119.516582
97826,97826,45.65450944,-119.226584
97827,97827,45.58793323,-117.845268
97828,97828,45.70676636,-117.228569
97830,97830,44.9501424,-120.189422
97833,97833,44.92229163,-117.997273
97833,97833,44.9948336,-118.191097
97834,97834,44.96870513,-117.189106
97835,97835,45.91005424,-118.786612
97836,97836,45.29391662,-119.501259
97837,97837,44.51814078,-118.036411
97838,97838,45.8529704,-119.286911
97839,97839,45.59135303,-119.592749
97840,97840,44.90615711,-116.927358
97841,97841,45.46511112,-117.944922
97842,97842,45.46739788,-116.748654
97843,97843,45.50480345,-119.897853
97844,97844,45.87423554,-119.558445
97845,97845,44.4018035,-118.903042
97846,97846,45.46591188,-117.029583
97848,97848,44.67562143,-119.566042
97850,97850,45.30158611,-118.116692
97856,97856,44.80651351,-119.121724
97857,97857,45.37815165,-117.504364
97859,97859,45.52910618,-118.421333
97862,97862,45.92349407,-118.310177
97864,97864,44.84581433,-119.445294
97865,97865,44.44718154,-119.191028
97867,97867,45.06907387,-117.995487
97868,97868,45.41185565,-118.870959
97869,97869,44.57905752,-118.454388
97869,97869,44.40096662,-118.62148
97870,97870,44.78586803,-117.182371
97870,97870,44.88657708,-117.362947
97873,97873,44.1320479,-119.002862
97874,97874,44.77753911,-119.867501
97875,97875,45.81939916,-119.138316
97876,97876,45.51646494,-118.035515
97877,97877,44.81607662,-118.456033
97877,97877,44.79258238,-118.339376
97880,97880,45.08359891,-118.894125
97882,97882,45.89993395,-119.354995
97883,97883,45.15515818,-117.619636
94118,94118,37.78011939,-122.462474
94121,94121,37.77651639,-122.494568
94122,94122,37.75879854,-122.485126
94123,94123,37.80078009,-122.43858
94123,94123,37.80300143,-122.451333
94124,94124,37.72906488,-122.38285
94127,94127,37.73570084,-122.459472
94128,94128,37.62209638,-122.384863
94129,94129,37.7973909,-122.466796
94130,94130,37.82068836,-122.369537
94131,94131,37.74550919,-122.442885
94132,94132,37.72208902,-122.484749
39531,39531,30.4040524,-88.9676269
42409,42409,37.50901923,-87.6069463
42409,42409,37.54341526,-87.701819
42410,42410,37.2772634,-87.512577
48755,48755,43.84464515,-83.2812383
42411,42411,37.25482288,-88.0832838
42411,42411,37.20295694,-88.0178603
42413,42413,37.44362964,-87.4709414
48756,48756,44.22941683,-83.9740689
48757,48757,43.46940009,-83.6794414
39532,39532,30.49356314,-88.9644885
39534,39534,30.41997716,-88.9229724
39534,39534,30.41546467,-88.9265976
39534,39534,30.414998,-88.9267643
39534,39534,30.41698211,-88.9273202
39534,39534,30.41636467,-88.930911
39534,39534,30.41587717,-88.9319768
39534,39534,30.40662364,-88.9210418
48759,48759,43.77057366,-83.2969214
48759,48759,43.75805307,-83.300422
48759,48759,43.69209264,-83.3110326
48759,48759,43.82486432,-83.4599757
48759,48759,43.79822897,-83.4732778
48759,48759,43.72927096,-83.3955855
48759,48759,43.79227455,-83.4782834
48759,48759,43.75897869,-83.474734
48759,48759,43.76965151,-83.4919588
39540,39540,30.44175849,-88.8990065
48760,48760,43.32115262,-83.2575127
48761,48761,44.51194243,-83.8924061
48762,48762,44.81746056,-83.4887259
39553,39553,30.41220105,-88.647286
42420,42420,37.71364708,-87.5839566
42420,42420,37.80344919,-87.5167997
39556,39556,30.4495942,-89.4229514
39556,39556,30.43312491,-89.6671912
48763,48763,44.25084968,-83.6097127
48765,48765,44.15242107,-83.7179016
48766,48766,44.11107216,-83.8469762
39560,39560,30.37487111,-89.1740206
48767,48767,43.64859397,-83.4661692
39561,39561,30.70490857,-89.1549947
42431,42431,37.32921004,-87.4783272
